year,name,prob
1940,superviselearning,0.0000001224
1940,Reinforcementlearning,0
1940,unsuperviselearing,0.0000000078
1950,Reinforcementlearning,0.0000000048
1950,superviselearning,0.0000001660
1950,unsuperviselearing,0.0000000085
1960,superviselearning,0.0000001941
1960,Reinforcementlearning,0.0000000227
1960,unsuperviselearing,0.0000000366
1970,unsuperviselearing,0.0000006991
1970,superviselearning,0.0000009147
1970,Reinforcementlearning,0.00000000808
1980,unsuperviselearing,0.0000006568
1980,Reinforcementlearning,0.00000000508
1980,superviselearning,0.0000007485
1990,unsuperviselearing,0.0000051625
1990,Reinforcementlearning,0.0000005872
1990,superviselearning,0.0000073834
2000,superviselearning,0.0000121202
2000,Reinforcementlearning,0.0000023880
2000,unsuperviselearing,0.0000081442
2010,unsuperviselearing,0.0000107783
2010,Reinforcementlearning,0.0000035250
2010,superviselearning,0.0000217238
2020,unsuperviselearing,0.0000204041
2020,Reinforcementlearning,0.0000060836
2020,superviselearning,0.0000377062